,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
411,5/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments,"In moments when the 02 collaborators carried out the inspection of the conveyor belt No. 3 from the tail pulley when they were at the height of the load polymer No. 372, the Maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley, 4 ""fragmentos mineral fragments are projected towards the access of the ramp impacting the 2 collaborators, being evacuated to the medical post."
14,2/4/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Confined space,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder."
91,3/24/2016 0:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Poll,"When performing the sleeve removal maneuver, when the hole was 600 meters deep, General da Silva pressed only one side of the locking nut of the rods, which together with the jack, holds the entire weight of the rods in the maneuver. As the locking procedure was not effective, the weight of the rods was only secured by the steel wire rope of the probe winch. At the moment that driller Pedro released the brake of the winch, the inefficacy of the locking done only in one side of the chestnut and without aid of the monkey, caused the sliding of the rods. Auxiliary was prepared for manual unlocking of the rods, holding the faucet key firmly against the probe tower as the composition shifted. As the stems slid, his hands were shifted downward, causing his left hand to strike against the base of the probe tower structure, causing cuts to the 4th and 5th Quirodactyl. employee was taken to the hospital where he went through medical care. wound was sutured with 16 stitches. same was removed for 10 days from his activities."
191,7/21/2016 0:00,Country_02,Local_12,Others,I,II,Female,Employee,Traffic,"At the EusÃ©bio bridge, there was a sudden braking in which several cars had to brake quickly. The collaborator's car failed to stop in time and collided with the rear of the car ahead. They were about 40km / hour."
266,11/13/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Plates,"Being the 01:30 hrs, After the cathode goes through the pre estriping, the sheets are detached and bend to the cathode of its position, the operator with the assistant lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palm of the left hand of the operator with the head and the transfe, activity is paralyzed and the collaborator is referred to the medical post by the head of the guard."
305,1/8/2017 0:00,Country_02,Local_05,Metals,II,IV,Male,Employee,Projection/Burning,"Employee performed withdrawal of electrical failure in the engine control drawer of the TQ 14 A, after the check and exchange of fuses, it closed the door of the drawer and energized the drawer, at this moment an arc was opened, reaching the face and part of the employee's forearm, causing minor burns."
327,2/1/2017 0:00,Country_03,Local_10,Others,I,II,Male,Third Party,Projection/Choco,"On 01/02/2017, at 10:15 a.m., when performing the Soil activity, the collaborator Alex used a pickaxe to assist in the opening of the collection hole. As he struck the ferranta on the ground, he had a fragment of rock projected on his forehead causing a small cut. The activity was paralyzed for a few moments and it was not necessary to go to the doctor, the employee continued the activities normally."
341,2/13/2017 0:00,Country_02,Local_05,Metals,III,IV,Male,Employee,Burn,"During the maintenance of the peristaltic pump 02BP0166 to change the internal hose, the rupture tubing of the reserve pump 02BP0167 was disrupted, after it started to operate, designing solution heated towards the employee, reaching his left forearm, causing a burn ."
345,2/17/2017 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Projection/Manual Tools,"the moment of extracting the bolts of the CHUCK of rotation unit VSD 01; in the instant that is made hits with the rope of 6Lbs. the base of the support bolts, a fragment of the metal structure is projected, impacting the face of the mechanic Freddy the described injury."
367,3/10/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Individual protection equipment,"In the Nv. 2930 - Chamber of accumulation of aggregates: When the worker, made the cast of shotcrete towards the crown of the work, at 2:00 p.m. he perceives discomfort and fogging of the full face, then decides to take it off and chooses to use only his safety glasses for comfort to continue with the thrown shotcrete, at 3:45 p.m. suffers the projection of shotcrete rebound particles in the left eye."
410,5/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments,"In moments when the 02 collaborators carried out the inspection of the conveyor belt No. 3 from the tail pulley when they were at the height of the load polymer No. 372, the Maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley, 4 ""fragmentos mineral fragments are projected towards the access of the ramp impacting the 2 collaborators, being evacuated to the medical post."
411,5/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments,"In moments when the 02 collaborators carried out the inspection of the conveyor belt No. 3 from the tail pulley when they were at the height of the load polymer No. 372, the Maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley, 4 ""fragmentos mineral fragments are projected towards the access of the ramp impacting the 2 collaborators, being evacuated to the medical post."
14,2/4/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Confined space,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder."
91,3/24/2016 0:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Poll,"When performing the sleeve removal maneuver, when the hole was 600 meters deep, General da Silva pressed only one side of the locking nut of the rods, which together with the jack, holds the entire weight of the rods in the maneuver. As the locking procedure was not effective, the weight of the rods was only secured by the steel wire rope of the probe winch. At the moment that driller Pedro released the brake of the winch, the inefficacy of the locking done only in one side of the chestnut and without aid of the monkey, caused the sliding of the rods. Auxiliary was prepared for manual unlocking of the rods, holding the faucet key firmly against the probe tower as the composition shifted. As the stems slid, his hands were shifted downward, causing his left hand to strike against the base of the probe tower structure, causing cuts to the 4th and 5th Quirodactyl. employee was taken to the hospital where he went through medical care. wound was sutured with 16 stitches. same was removed for 10 days from his activities."
191,7/21/2016 0:00,Country_02,Local_12,Others,I,II,Female,Employee,Traffic,"At the EusÃ©bio bridge, there was a sudden braking in which several cars had to brake quickly. The collaborator's car failed to stop in time and collided with the rear of the car ahead. They were about 40km / hour."
266,11/13/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Plates,"Being the 01:30 hrs, After the cathode goes through the pre estriping, the sheets are detached and bend to the cathode of its position, the operator with the assistant lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palm of the left hand of the operator with the head and the transfe, activity is paralyzed and the collaborator is referred to the medical post by the head of the guard."
305,1/8/2017 0:00,Country_02,Local_05,Metals,II,IV,Male,Employee,Projection/Burning,"Employee performed withdrawal of electrical failure in the engine control drawer of the TQ 14 A, after the check and exchange of fuses, it closed the door of the drawer and energized the drawer, at this moment an arc was opened, reaching the face and part of the employee's forearm, causing minor burns."
327,2/1/2017 0:00,Country_03,Local_10,Others,I,II,Male,Third Party,Projection/Choco,"On 01/02/2017, at 10:15 a.m., when performing the Soil activity, the collaborator Alex used a pickaxe to assist in the opening of the collection hole. As he struck the ferranta on the ground, he had a fragment of rock projected on his forehead causing a small cut. The activity was paralyzed for a few moments and it was not necessary to go to the doctor, the employee continued the activities normally."
341,2/13/2017 0:00,Country_02,Local_05,Metals,III,IV,Male,Employee,Burn,"During the maintenance of the peristaltic pump 02BP0166 to change the internal hose, the rupture tubing of the reserve pump 02BP0167 was disrupted, after it started to operate, designing solution heated towards the employee, reaching his left forearm, causing a burn ."
345,2/17/2017 0:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Projection/Manual Tools,"the moment of extracting the bolts of the CHUCK of rotation unit VSD 01; in the instant that is made hits with the rope of 6Lbs. the base of the support bolts, a fragment of the metal structure is projected, impacting the face of the mechanic Freddy the described injury."
367,3/10/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Individual protection equipment,"In the Nv. 2930 - Chamber of accumulation of aggregates: When the worker, made the cast of shotcrete towards the crown of the work, at 2:00 p.m. he perceives discomfort and fogging of the full face, then decides to take it off and chooses to use only his safety glasses for comfort to continue with the thrown shotcrete, at 3:45 p.m. suffers the projection of shotcrete rebound particles in the left eye."
410,5/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments,"In moments when the 02 collaborators carried out the inspection of the conveyor belt No. 3 from the tail pulley when they were at the height of the load polymer No. 372, the Maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley, 4 ""fragmentos mineral fragments are projected towards the access of the ramp impacting the 2 collaborators, being evacuated to the medical post."
411,5/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments,"In moments when the 02 collaborators carried out the inspection of the conveyor belt No. 3 from the tail pulley when they were at the height of the load polymer No. 372, the Maslucan collaborator heard a noise where note that the belt was moving towards the tail pulley, 4 ""fragmentos mineral fragments are projected towards the access of the ramp impacting the 2 collaborators, being evacuated to the medical post."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
384,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In the tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% dismantled) located in the city of Pasco, the last profiles of the base of the tower previously disassembled were cut, using oxyfuel equipment , at 11:45 am, the Proingcom security supervisor and the foreman, who were on the outside of the fenced area supervising the activity, indicate the stoppage of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a fright, which caused the staff to throw themselves to the floor inside the area, then proceeded to leave the work area by his own means through the ladder. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
385,4/11/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock,"In tower N Â° 6 of the old 50 KV LT (disabled and de-energized and 90% disassembled) located in the city of Pasco, the cutting of the last profiles of the base of the tower previously disassembled was carried out, using oxyfuel equipment, at 11:45 a.m., the safety supervisor of Proingcom and the foreman, who were in the external part of the fenced area supervising the activity, indicate the paralysis of activities and evacuation to the refuge due to the orange alert indicated on the detector of storms. During the evacuation of the last 02 employees who were inside the fenced area, a loud sound was heard, provoking a scare, which caused the staff to throw themselves to the floor within the area, then proceeded to leave the work area by their own means through the staircase. Apparently the loud sound would correspond to an electrical discharge in the cable guard that passes over the old towers."
366,3/9/2017 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection,"Employee was performing maintenance on filter press, in the Filtration area (GRS). When he dismantled the hose clamp in a turning motion, he had contact with the burr of the tip of one of the screws that was exposed, causing him a cut in his glove and wound in the 3rd quirodactilo of the left hand."
